city,city_ascii,lat,lng,admin_name,population,country_id2
Ajka,Ajka,47.1006,17.5522,VeszprÃ©m,27995,80
Cuartero,Cuartero,11.35,122.6667,Capiz,27993,4
Langedijk,Langedijk,52.6936,4.7944,Noord-Holland,27992,115
LuÄenec,Lucenec,48.3314,19.6708,BanskobystrickÃ½,27991,136
Careiro da VÃ¡rzea,Careiro da Varzea,-3.2208,-59.8258,Amazonas,27981,5
San Felipe Jalapa de DÃ­az,San Felipe Jalapa de Diaz,18.0667,-96.5333,Oaxaca,27979,8
Yangyuhe,Yangyuhe,33.8614,109.874,Shaanxi,27971,7
Mehlville,Mehlville,38.5018,-90.3149,Missouri,27971,10
Wisconsin Rapids,Wisconsin Rapids,44.3927,-89.8265,Wisconsin,27966,10
Kasangulu,Kasangulu,-4.5796,15.18,Kongo Central,27961,18
San MartÃ­n de los Andes,San Martin de los Andes,-40.1667,-71.35,NeuquÃ©n,27956,14
Zeitz,Zeitz,51.0478,12.1383,Saxony-Anhalt,27955,44
Kholmsk,Kholmsk,47.0403,142.0431,Sakhalinskaya Oblastâ€™,27954,11
Galt,Galt,38.2693,-121.3,California,27954,10
San Miniato,San Miniato,43.6833,10.85,Tuscany,27950,52
Labasa,Labasa,-16.4333,179.3667,Macuata,27949,174
Hamar,Hamar,60.7944,11.0678,Hedmark,27947,122
Hutto,Hutto,30.5373,-97.5516,Texas,27947,10
Bixby,Bixby,35.9454,-95.8773,Oklahoma,27944,10
Khmilnyk,Khmilnyk,49.55,27.9667,Vinnytsâ€™ka Oblastâ€™,27941,49
Drexel Hill,Drexel Hill,39.9495,-75.3039,Pennsylvania,27939,10
Hobart,Hobart,41.5139,-87.2729,Indiana,27939,10
Douglas,Douglas,54.15,-4.4819,,27938,190
West Windsor,West Windsor,40.2897,-74.6267,New Jersey,27937,10
Aloran,Aloran,8.4146,123.8228,Misamis Occidental,27934,4
Oakdale,Oakdale,44.9876,-92.9641,Minnesota,27933,10
NochistlÃ¡n de MejÃ­a,Nochistlan de Mejia,21.3642,-102.8464,Zacatecas,27932,8
JaguarÃ£o,Jaguarao,-32.5658,-53.3758,Rio Grande do Sul,27931,5
Ternivka,Ternivka,48.5231,36.0826,Dnipropetrovsâ€™ka Oblastâ€™,27929,49
Boscoreale,Boscoreale,40.775,14.475,Campania,27927,52
Sunbury,Sunbury,40.8617,-76.7874,Pennsylvania,27921,10
Gameleira,Gameleira,-8.5844,-35.3867,Pernambuco,27912,5
Spinea,Spinea,45.4931,12.1606,Veneto,27909,52
MocÃ­mboa,Mocimboa,-11.3196,40.35,Cabo Delgado,27909,91
Summerlin South,Summerlin South,36.1242,-115.3324,Nevada,27908,10
Dahmani,Dahmani,35.9424,8.8284,Kef,27907,102
Valente,Valente,-11.4119,-39.4619,Bahia,27906,5
AshShajarah,AshShajarah,32.6417,35.9417,Irbid,27902,43
Reina Mercedes Viejo,Reina Mercedes Viejo,16.9833,121.7833,Isabela,27900,4
Majayjay,Majayjay,14.1463,121.4729,Laguna,27893,4
Caridad,Caridad,14.4828,120.8958,Cavite,27891,4
Hiji,Hiji,33.3708,131.5303,ÅŒita,27887,1
Harelbeke,Harelbeke,50.8567,3.3131,Flanders,27886,78
Emmendingen,Emmendingen,48.1214,7.8492,Baden-WÃ¼rttemberg,27882,44
Carauari,Carauari,-4.8828,-66.8958,Amazonas,27880,5
Dingalan,Dingalan,15.3833,121.4,Aurora,27878,4
Santa BÃ¡rbara,Santa Barbara,-19.9589,-43.415,Minas Gerais,27876,5
Talusan,Talusan,7.4263,122.8084,Zamboanga Sibugay,27873,4
MytilÃ­ni,Mytilini,39.1047,26.5536,VoreÃ­o AigaÃ­o,27871,123
Chichaoua,Chichaoua,31.5333,-8.7667,Marrakech-Safi,27869,41
San Isidro,San Isidro,12.388,124.331,Northern Samar,27867,4
Mahaplag,Mahaplag,10.5833,124.9833,Leyte,27865,4
Quiroga,Quiroga,19.6638,-101.524,MichoacÃ¡n de Ocampo,27862,8
Bolobo,Bolobo,-2.16,16.24,Mai-Ndombe,27862,18
Topki,Topki,55.2833,85.6167,Kemerovskaya Oblastâ€™,27860,11
Villa Luvianos,Villa Luvianos,18.92,-100.2983,MÃ©xico,27860,8
Langdu,Langdu,23.3129,102.2283,Yunnan,27859,7
Mateus Leme,Mateus Leme,-19.9858,-44.4278,Minas Gerais,27856,5
Mogliano Veneto,Mogliano Veneto,45.5619,12.2364,Veneto,27852,52
GuaÃ§uÃ­,Guacui,-20.7758,-41.6789,EspÃ­rito Santo,27851,5
Sabaneta,Sabaneta,8.7522,-69.9325,Barinas,27850,70
Kakuda,Kakuda,37.9772,140.7819,Miyagi,27848,1
Salinas Victoria,Salinas Victoria,25.9667,-100.3,Nuevo LeÃ³n,27848,8
Zolotonosha,Zolotonosha,49.6833,32.0333,Cherkasâ€™ka Oblastâ€™,27847,49
New Smyrna Beach,New Smyrna Beach,29.0249,-80.9651,Florida,27843,10
Parabiago,Parabiago,45.5583,8.9477,Lombardy,27842,52
HÄdÄ«shahr,Hadishahr,38.8478,45.6622,Ä€zÌ„arbÄyjÄn-e SharqÄ«,27842,20
PiraÃ­,Pirai,-22.6289,-43.8978,Rio de Janeiro,27838,5
Tualatin,Tualatin,45.3772,-122.7746,Oregon,27837,10
Uchturpan,Uchturpan,41.2136,79.2319,Xinjiang,27836,7
Imatra,Imatra,61.1931,28.7764,EtelÃ¤-Karjala,27835,125
Forest Hills,Forest Hills,42.9577,-85.4895,Michigan,27830,10
KÄ™trzyn,Ketrzyn,54.0833,21.3833,WarmiÅ„sko-Mazurskie,27827,77
Bignona,Bignona,12.8167,-16.2333,Ziguinchor,27826,93
Fridley,Fridley,45.0841,-93.2595,Minnesota,27826,10
Vyshhorod,Vyshhorod,50.5833,30.5,Kyyivsâ€™ka Oblastâ€™,27825,49
Mizumaki,Mizumaki,33.85,130.7,Fukuoka,27822,1
Newtown,Newtown,41.3988,-73.2927,Connecticut,27822,10
Nibria,Nibria,22.61,88.25,West Bengal,27818,3
East Chicago,East Chicago,41.6484,-87.4536,Indiana,27817,10
Magdalena,Magdalena,14.2,121.4333,Laguna,27816,4
Kirkwood,Kirkwood,38.5788,-90.4203,Missouri,27807,10
Sundern,Sundern,51.3167,8,North Rhine-Westphalia,27802,44
Traipu,Traipu,-9.9708,-37.0028,Alagoas,27798,5
Maloyaroslavets,Maloyaroslavets,55,36.4667,Kaluzhskaya Oblastâ€™,27791,11
Tlalpujahua de RayÃ³n,Tlalpujahua de Rayon,19.8052,-100.1741,MÃ©xico,27788,8
IguaÃ­,Iguai,-14.7558,-40.0889,Bahia,27787,5
DembÄ« Dolo,Dembi Dolo,8.5333,34.8,OromÄ«ya,27780,47
Ä°negÃ¶l,Inegol,40.0806,29.5097,Bursa,27777,16
Sanger,Sanger,36.699,-119.5575,California,27777,10
Desnogorsk,Desnogorsk,54.1531,33.2903,Smolenskaya Oblastâ€™,27771,11
Ofaqim,Ofaqim,31.2833,34.6167,Southern,27771,112
ViÃ±ales,Vinales,22.6153,-83.7158,Pinar del RÃ­o,27771,65
Soledad de Doblado,Soledad de Doblado,19.0447,-96.4233,Veracruz,27770,8
Bongor,Bongor,10.2806,15.3722,Mayo-KÃ©bbi Est,27770,97
La Oliva,La Oliva,28.6167,-13.9333,Canary Islands,27768,33
Tenares,Tenares,19.37,-70.35,Cibao Nordeste,27765,57
Mongo,Mongo,12.1837,18.7,GuÃ©ra,27763,97
FÅ«man,Fuman,37.2239,49.3125,GÄ«lÄn,27763,20
Limoeiro do Ajuru,Limoeiro do Ajuru,-1.895,-49.3808,ParÃ¡,27760,5
Pomerode,Pomerode,-26.7408,-49.1769,Santa Catarina,27759,5
Peniche,Peniche,39.35,-9.3667,Leiria,27753,135
Baunatal,Baunatal,51.2589,9.4183,Hesse,27750,44
Ã–rnskÃ¶ldsvik,Ornskoldsvik,63.294,18.7122,VÃ¤sternorrland,27749,108
